-------------------------------
identifier 	 task 	 time
-------------------------------
    ifndef 	 insert	 0.000005 s
     FLOAT 	 insert	 0.000003 s
         H 	 insert	 0.000002 s
    define 	 insert	 0.000003 s
     FLOAT 	 search	 0.000003 s
         H 	 search	 0.000003 s
     undef 	 insert	 0.000003 s
       FLT 	 insert	 0.000002 s
     RADIX 	 insert	 0.000003 s
    define 	 search	 0.000003 s
       FLT 	 search	 0.000002 s
     RADIX 	 search	 0.000002 s
       FLT 	 search	 0.000002 s
     RADIX 	 search	 0.000003 s
     undef 	 search	 0.000003 s
       FLT 	 search	 0.000003 s
      MANT 	 insert	 0.000003 s
       DIG 	 insert	 0.000002 s
     undef 	 search	 0.000002 s
       DBL 	 insert	 0.000002 s
      MANT 	 search	 0.000002 s
       DIG 	 search	 0.000003 s
     undef 	 search	 0.000003 s
      LDBL 	 insert	 0.000003 s
      MANT 	 search	 0.000003 s
       DIG 	 search	 0.000003 s
    define 	 search	 0.000002 s
       FLT 	 search	 0.000003 s
      MANT 	 search	 0.000003 s
       DIG 	 search	 0.000003 s
       FLT 	 search	 0.000002 s
      MANT 	 search	 0.000003 s
       DIG 	 search	 0.000003 s
    define 	 search	 0.000003 s
       DBL 	 search	 0.000003 s
      MANT 	 search	 0.000003 s
       DIG 	 search	 0.000006 s
       DBL 	 search	 0.000003 s
      MANT 	 search	 0.000003 s
       DIG 	 search	 0.000003 s
    define 	 search	 0.000002 s
      LDBL 	 search	 0.000002 s
      MANT 	 search	 0.000003 s
       DIG 	 search	 0.000003 s
      LDBL 	 search	 0.000002 s
      MANT 	 search	 0.000002 s
       DIG 	 search	 0.000003 s
     undef 	 search	 0.000003 s
       FLT 	 search	 0.000003 s
       DIG 	 search	 0.000003 s
     undef 	 search	 0.000002 s
       DBL 	 search	 0.000003 s
       DIG 	 search	 0.000003 s
     undef 	 search	 0.000002 s
      LDBL 	 search	 0.000002 s
       DIG 	 search	 0.000002 s
    define 	 search	 0.000003 s
       FLT 	 search	 0.000003 s
       DIG 	 search	 0.000002 s
       FLT 	 search	 0.000002 s
       DIG 	 search	 0.000002 s
    define 	 search	 0.000002 s
       DBL 	 search	 0.000002 s
       DIG 	 search	 0.000002 s
       DBL 	 search	 0.000003 s
       DIG 	 search	 0.000002 s
    define 	 search	 0.000002 s
      LDBL 	 search	 0.000002 s
       DIG 	 search	 0.000002 s
      LDBL 	 search	 0.000002 s
       DIG 	 search	 0.000004 s
     undef 	 search	 0.000002 s
       FLT 	 search	 0.000003 s
       MIN 	 insert	 0.000005 s
       EXP 	 insert	 0.000004 s
     undef 	 search	 0.000003 s
       DBL 	 search	 0.000003 s
       MIN 	 search	 0.000003 s
       EXP 	 search	 0.000002 s
     undef 	 search	 0.000003 s
      LDBL 	 search	 0.000002 s
       MIN 	 search	 0.000003 s
       EXP 	 search	 0.000003 s
    define 	 search	 0.000003 s
       FLT 	 search	 0.000002 s
       MIN 	 search	 0.000003 s
       EXP 	 search	 0.000003 s
       FLT 	 search	 0.000002 s
       MIN 	 search	 0.000002 s
       EXP 	 search	 0.000002 s
    define 	 search	 0.000002 s
       DBL 	 search	 0.000002 s
       MIN 	 search	 0.000002 s
       EXP 	 search	 0.000002 s
       DBL 	 search	 0.000003 s
       MIN 	 search	 0.000002 s
       EXP 	 search	 0.000003 s
    define 	 search	 0.000002 s
      LDBL 	 search	 0.000003 s
       MIN 	 search	 0.000003 s
       EXP 	 search	 0.000003 s
      LDBL 	 search	 0.000002 s
       MIN 	 search	 0.000003 s
       EXP 	 search	 0.000002 s
     undef 	 search	 0.000002 s
       FLT 	 search	 0.000002 s
       MIN 	 search	 0.000002 s
       EXP 	 search	 0.000003 s
     undef 	 search	 0.000003 s
       DBL 	 search	 0.000003 s
       MIN 	 search	 0.000003 s
       EXP 	 search	 0.000003 s
     undef 	 search	 0.000002 s
      LDBL 	 search	 0.000002 s
       MIN 	 search	 0.000002 s
       EXP 	 search	 0.000003 s
    define 	 search	 0.000003 s
       FLT 	 search	 0.000003 s
       MIN 	 search	 0.000002 s
       EXP 	 search	 0.000002 s
       FLT 	 search	 0.000003 s
       MIN 	 search	 0.000003 s
       EXP 	 search	 0.000002 s
    define 	 search	 0.000003 s
       DBL 	 search	 0.000003 s
       MIN 	 search	 0.000003 s
       EXP 	 search	 0.000003 s
       DBL 	 search	 0.000005 s
       MIN 	 search	 0.000003 s
       EXP 	 search	 0.000003 s
    define 	 search	 0.000004 s
      LDBL 	 search	 0.000003 s
       MIN 	 search	 0.000003 s
       EXP 	 search	 0.000003 s
      LDBL 	 search	 0.000003 s
       MIN 	 search	 0.000003 s
       EXP 	 search	 0.000003 s
     undef 	 search	 0.000004 s
       FLT 	 search	 0.000004 s
       MAX 	 insert	 0.000004 s
       EXP 	 search	 0.000002 s
     undef 	 search	 0.000004 s
       DBL 	 search	 0.000004 s
       MAX 	 search	 0.000004 s
       EXP 	 search	 0.000003 s
     undef 	 search	 0.000003 s
      LDBL 	 search	 0.000003 s
       MAX 	 search	 0.000008 s
       EXP 	 search	 0.000006 s
    define 	 search	 0.000004 s
       FLT 	 search	 0.000003 s
       MAX 	 search	 0.000004 s
       EXP 	 search	 0.000006 s
       FLT 	 search	 0.000003 s
       MAX 	 search	 0.000003 s
       EXP 	 search	 0.000005 s
    define 	 search	 0.000006 s
       DBL 	 search	 0.000004 s
       MAX 	 search	 0.000005 s
       EXP 	 search	 0.000002 s
       DBL 	 search	 0.000002 s
       MAX 	 search	 0.000003 s
       EXP 	 search	 0.000003 s
    define 	 search	 0.000003 s
      LDBL 	 search	 0.000003 s
       MAX 	 search	 0.000003 s
       EXP 	 search	 0.000002 s
      LDBL 	 search	 0.000003 s
       MAX 	 search	 0.000002 s
       EXP 	 search	 0.000003 s
     undef 	 search	 0.000002 s
       FLT 	 search	 0.000003 s
